genres,movie_count
Animation|Comedy|Family|Music|Western,1
Action|Drama|Sci-Fi|Sport,1
Animation|Family|Fantasy|Musical|Romance,1
Action|Drama|Romance,1
Biography|Crime|Drama|History|Romance,1
Action|Drama|Mystery|Thriller,1
Drama|Western,1
Animation|Drama|Family|Musical|Romance,1
Action|Adventure|Comedy|Family|Mystery,1
Action|Romance|Thriller,1
Action|Fantasy|Horror|Mystery,1
Biography|Comedy|Crime|Drama,1
Action|Sci-Fi|War,1
Drama|Sci-Fi,1
Action|Adventure|Animation|Family|Fantasy,1
Action|Crime|Fantasy|Romance|Thriller,1
Action|Crime|Sport|Thriller,1
Action|Adventure|Biography|Drama|History|Thriller,1
Drama|History|Romance|War,1
Animation|Comedy|Family|Sport,1
Comedy|Sci-Fi|Thriller,1
Adventure|Animation|Comedy|Family|Romance,1
Drama|Family|Fantasy|Romance,1
Drama|Fantasy|Thriller,1
Drama|Mystery|Romance|Sci-Fi|Thriller,1
Drama|History|War|Western,1
Action|Adventure|Animation|Family,1
Adventure|Comedy|Family|Mystery|Sci-Fi,1
Drama|Fantasy|Horror|Mystery|Thriller,1
Adventure|Comedy|Drama|Fantasy|Romance,1
Action|Adventure|Comedy|Crime|Thriller,1
Adventure|Animation|Family|Fantasy|Musical|War,1
Action|Adventure|Animation|Family|Fantasy|Sci-Fi,1
Action|Animation|Comedy|Sci-Fi,1
Comedy|Family|Fantasy|Horror|Mystery,1
Action|Adventure|Comedy|Crime|Mystery|Thriller,1
Action|Family|Fantasy|Musical,1
Drama|History|Sport,1
Animation|Comedy|Family|Music|Romance,1
Animation|Comedy|Family|Fantasy|Musical|Romance,1
Comedy|Drama|Music|Musical,1
Action|Comedy|Fantasy|Romance,1
Adventure|Comedy|Mystery,1
Action|Adventure|Fantasy|Horror|Sci-Fi,1
Crime|Drama|History|Mystery|Thriller,1
Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,1
Action|Drama|Romance|Sci-Fi|Thriller,1
Comedy|Crime|Sport,1
Adventure|Drama|History|Romance|War,1
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,1
Adventure|Comedy|Crime|Family|Mystery,1
Action|Crime|Mystery|Romance|Thriller,1
Action|Adventure|Comedy|Romance,1
Adventure|Animation|Family|Western,1
Action|Adventure|Family|Sci-Fi|Thriller,1
Animation|Family|Fantasy|Music,1
Action|Adventure|Family|Fantasy|Thriller,1
