director_name,avg_score
"Evan Goldberg",6.6
"Asger Leth",6.6
"Peter Hedges",6.6
"David Carson",6.6
"Patrick Tatopoulos",6.6
"Hugh Wilson",6.6
"Mike Nichols",6.58
"George Miller",6.575
"Penny Marshall",6.566666666666667
"Bibo Bergeron",6.566666666666666
"Martin Campbell",6.550000000000001
"David Twohy",6.550000000000001
"Mark Dindal",6.55
"Gil Kenan",6.55
"Iain Softley",6.55
"Jonathan Mostow",6.549999999999999
"Richard Donner",6.542857142857144
"D.J. Caruso",6.533333333333334
"Barry Levinson",6.525
"John Woo",6.516666666666667
"David Bowers",6.5
"David Soren",6.5
"Eric Leighton",6.5
"Paul Verhoeven",6.5
"James L. Brooks",6.5
"Sylvester Stallone",6.5
"Cody Cameron",6.5
"Gary McKendry",6.5
"Seth MacFarlane",6.5
"Scott Waugh",6.5
"Jay Russell",6.5
"Howard Deutch",6.5
"John Hamburg",6.5
"Barbra Streisand",6.5
"Mark Pellington",6.5
"Nick Cassavetes",6.5
"Malcolm D. Lee",6.5
"Kar-Wai Wong",6.5
"Frank Miller",6.466666666666666
"Robert Redford",6.466666666666666
"Rob Marshall",6.45
"Tony Gilroy",6.45
"Jaume Collet-Serra",6.45
"Burr Steers",6.45
"Stephen Norrington",6.449999999999999
"Brett Ratner",6.444444444444445
"Wolfgang Petersen",6.44
"Mark Waters",6.433333333333334
"Simon West",6.42
"Jon Turteltaub",6.4
"Chris Miller",6.4
"Hironobu Sakaguchi",6.4
"Gary Winick",6.4
"Lucile Hadzihalilovic",6.4
"Kyle Balda",6.4
"MÃ¥ns MÃ¥rlind",6.4
"Phil Alden Robinson",6.4
"Wes Ball",6.4
"Stuart Baird",6.4
"Steve Antin",6.4
"Carl Franklin",6.4
"Susan Stroman",6.4
"Bruce Beresford",6.4
"NimrÃ³d Antal",6.4
"Sofia Coppola",6.4
"Yuefeng Song",6.4
"Jeb Stuart",6.4
"Steve Pink",6.4
"Robert Wise",6.4
"Mike Hodges",6.4
"Mimi Leder",6.3999999999999995
"Jay Roach",6.366666666666667
"Roland Emmerich",6.3500000000000005
"Jon M. Chu",6.35
"Mikael HÃ¥fstrÃ¶m",6.35
"Steven Zaillian",6.35
"Robert Schwentke",6.349999999999999
"John Milius",6.333333333333333
"Joe Johnston",6.325
"Barry Sonnenfeld",6.3
"Carl Rinsch",6.3
"Roger Donaldson",6.3
"Wally Pfister",6.3
"Alan J. Pakula",6.3
"Andrew Davis",6.3
"Joe Pytka",6.3
"Clay Kaytis",6.3
"Judd Apatow",6.3
"Gary Shore",6.3
"Josh Gordon",6.3
"Ron Maxwell",6.3
"Phyllida Lloyd",6.3
"P.J. Hogan",6.3
"Oliver Parker",6.3
"Sngmoo Lee",6.3
"Ulu Grosbard",6.3
"Kevin Munroe",6.3
"Tommy O'Haver",6.3
"Ben Stiller",6.275
"Danny DeVito",6.266666666666666
"Jonathan Demme",6.25
"Gregory Hoblit",6.25
"Timur Bekmambetov",6.233333333333334
